,index,cluster,dists,n,e_num,GO_terms
0,379,"('AT1G78700', 'AT1G69010', 'AT4G23550', 'AT5G25810', 'AT2G35700', 'AT1G44830', 'AT5G25190', 'AT1G06850', 'AT2G36270', 'AT1G12630', 'AT2G01940', 'AT2G37590', 'AT1G33240', 'AT1G76890', 'AT5G08130', 'AT5G08330', 'AT5G03150', 'AT3G20770', 'AT5G66700', 'AT4G36740', 'AT4G14770', 'AT5G47370', 'AT3G45610', 'AT4G18770', 'AT2G46680', 'AT2G18550', 'AT3G26790', 'AT1G30490', 'AT5G13180', 'AT2G02080', 'AT1G14350', 'AT1G01060', 'AT4G31800', 'AT3G53200')",0.07071120466899888,34,12,"[('GO:0008356', 'asymmetric cell division'), ('GO:0043433', 'negative regulation of DNA-binding transcription factor activity'), ('GO:2000037', 'regulation of stomatal complex patterning'), ('GO:0010182', 'sugar mediated signaling pathway'), ('GO:0009553', 'embryo sac development'), ('GO:0043565', 'sequence-specific DNA binding'), ('GO:0019900', 'kinase binding'), ('GO:0003700', 'DNA-binding transcription factor activity'), ('GO:0090057', 'root radial pattern formation'), ('GO:0009742', 'brassinosteroid mediated signaling pathway'), ('GO:0009733', 'response to auxin'), ('GO:0006351', 'DNA-templated transcription')]"
1,365,"('AT4G36920', 'AT5G11260', 'AT2G47270', 'AT2G01930', 'AT1G09530', 'AT5G23280', 'AT1G24260')",0.06705129833609695,7,11,"[('GO:0031539', 'positive regulation of anthocyanin metabolic process'), ('GO:0010093', 'specification of floral organ identity'), ('GO:0010017', 'red or far-red light signaling pathway'), ('GO:0048481', 'plant ovule development'), ('GO:0009908', 'flower development'), ('GO:0009740', 'gibberellic acid mediated signaling pathway'), ('GO:0009723', 'response to ethylene'), ('GO:0046983', 'protein dimerization activity'), ('GO:0003677', 'DNA binding'), ('GO:0009409', 'response to cold'), ('GO:0009737', 'response to abscisic acid')]"
2,556,"('AT3G15030', 'AT1G22070', 'AT5G06950', 'AT2G20400', 'AT2G47460', 'AT1G66230', 'AT5G26660', 'AT2G27050', 'AT1G75410', 'AT1G47270', 'AT4G27410', 'AT4G04450', 'AT1G62300', 'AT3G62420', 'AT2G46270', 'AT1G73730', 'AT3G19290', 'AT1G24625', 'AT1G01260', 'AT1G21910', 'AT2G21230', 'AT5G15210', 'AT5G44210', 'AT1G71930', 'AT1G61730', 'AT2G44730', 'AT1G47870', 'AT5G54680', 'AT3G53340', 'AT1G54060', 'AT4G22680', 'AT1G52890', 'AT1G79840', 'AT1G32640', 'AT2G47190', 'AT1G17310', 'AT2G37120', 'AT3G13040', 'AT3G24650', 'AT2G28710', 'AT1G18570', 'AT1G42990', 'AT1G15780', 'AT3G22170', 'AT1G74930', 'AT5G04340')",0.6375641884380344,46,10,"[('GO:0019760', 'glucosinolate metabolic process'), ('GO:0009759', 'indole glucosinolate biosynthetic process'), ('GO:0009862', 'systemic acquired resistance, salicylic acid mediated signaling pathway'), ('GO:0009737', 'response to abscisic acid'), ('GO:0046982', 'protein heterodimerization activity'), ('GO:0000976', 'transcription cis-regulatory region binding'), ('GO:1901141', 'regulation of lignin biosynthetic process'), ('GO:0009970', 'cellular response to sulfate starvation'), ('GO:0009094', 'L-phenylalanine biosynthetic process'), ('GO:0005730', 'nucleolus')]"
3,549,"('AT5G63280', 'AT2G47890', 'AT4G24470', 'AT4G39070', 'AT5G43270', 'AT2G36080', 'AT4G14560', 'AT5G22570', 'AT3G23050', 'AT2G01570', 'AT5G01200', 'AT3G19580', 'AT1G75540', 'AT3G10470', 'AT3G14230', 'AT3G07650', 'AT3G62100', 'AT2G26940', 'AT5G65210', 'AT3G22760', 'AT5G08190', 'AT1G04100', 'AT2G02470', 'AT4G27240', 'AT5G66730', 'AT1G10480', 'AT5G47640', 'AT3G23690', 'AT3G22780')",0.5486981017303741,29,9,"[('GO:0000976', 'transcription cis-regulatory region binding'), ('GO:0048767', 'root hair elongation'), ('GO:0009630', 'gravitropism'), ('GO:0008270', 'zinc ion binding'), ('GO:0009863', 'salicylic acid mediated signaling pathway'), ('GO:0042538', 'hyperosmotic salinity response'), ('GO:0003712', 'transcription coregulator activity'), ('GO:0010218', 'response to far red light'), ('GO:0009640', 'photomorphogenesis')]"
4,436,"('AT3G06740', 'AT2G31070', 'AT1G22810', 'AT1G32360', 'AT1G31320', 'AT1G05805', 'AT3G23060', 'AT3G02310', 'AT1G29950', 'AT2G30590', 'AT3G04670', 'AT5G55970', 'AT2G34710', 'AT5G16600', 'AT5G06710', 'AT5G66320', 'AT1G72220', 'AT5G09460', 'AT3G26744', 'AT4G36540', 'AT1G69580', 'AT5G64340', 'AT1G66140', 'AT1G62700', 'AT5G64530', 'AT1G68810', 'AT1G51140', 'AT2G40470', 'AT5G41410', 'AT4G28530', 'AT1G19850', 'AT2G47900', 'AT3G56980', 'AT1G63650', 'AT4G32880', 'AT5G17600', 'AT3G10760', 'AT1G43640', 'AT3G04420', 'AT5G49450', 'AT1G26800', 'AT5G64220', 'AT1G34190', 'AT1G56170', 'AT4G14540')",0.12508224177846236,45,8,"[('GO:0016567', 'protein ubiquitination'), ('GO:0003674', 'molecular_function'), ('GO:0046983', 'protein dimerization activity'), ('GO:1903286', 'regulation of potassium ion import'), ('GO:1902456', 'regulation of stomatal opening'), ('GO:0090333', 'regulation of stomatal closure'), ('GO:0010119', 'regulation of stomatal movement'), ('GO:0009620', 'response to fungus')]"
5,491,"('AT2G36400', 'AT5G25830', 'AT4G17490', 'AT5G51190', 'AT5G05410', 'AT4G23980', 'AT1G76510', 'AT5G61590', 'AT1G12260', 'AT5G61600', 'AT5G66300', 'AT2G46400', 'AT3G21175', 'AT1G22640', 'AT3G14180')",0.2217398172886875,15,8,"[('GO:0000976', 'transcription cis-regulatory region binding'), ('GO:0009624', 'response to nematode'), ('GO:1901348', 'positive regulation of secondary cell wall biogenesis'), ('GO:0048759', 'xylem vessel member cell differentiation'), ('GO:0051301', 'cell division'), ('GO:0010087', 'phloem or xylem histogenesis'), ('GO:0071456', 'cellular response to hypoxia'), ('GO:0005515', 'protein binding')]"
6,533,"('AT3G46640', 'AT5G10140', 'AT2G45660', 'AT5G15840', 'AT5G35550', 'AT4G11070', 'AT1G21970', 'AT3G59060', 'AT2G44745')",0.4191514915263405,9,8,"[('GO:2000028', 'regulation of photoperiodism, flowering'), ('GO:0009409', 'response to cold'), ('GO:0009908', 'flower development'), ('GO:0000978', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding'), ('GO:0006357', 'regulation of transcription by RNA polymerase II'), ('GO:0005515', 'protein binding'), ('GO:0007623', 'circadian rhythm'), ('GO:0000981', 'DNA-binding transcription factor activity, RNA polymerase II-specific')]"
7,386,"('AT4G01280', 'AT5G62380', 'AT2G46770', 'AT4G36160', 'AT5G06100', 'AT5G17300', 'AT4G38000', 'AT3G47500', 'AT1G69570', 'AT1G52150', 'AT5G17800', 'AT1G76420', 'AT5G04410', 'AT2G20110', 'AT1G70920', 'AT1G19000', 'AT4G00730', 'AT5G66940', 'AT3G21890', 'AT1G47655', 'AT5G62940', 'AT3G50410', 'AT5G02460', 'AT3G46590', 'AT1G32870', 'AT5G10510', 'AT5G65510', 'AT1G34180', 'AT5G64060', 'AT3G17730', 'AT3G18400', 'AT3G03200', 'AT5G18270', 'AT5G39610')",0.07481285104997258,34,7,"[('GO:0060772', 'leaf phyllotactic patterning'), ('GO:0060771', 'phyllotactic patterning'), ('GO:0043068', 'positive regulation of programmed cell death'), ('GO:1905392', 'plant organ morphogenesis'), ('GO:0048579', 'negative regulation of long-day photoperiodism, flowering'), ('GO:0010311', 'lateral root formation'), ('GO:0010492', 'maintenance of shoot apical meristem identity')]"
8,392,"('AT1G46768', 'AT2G23340', 'AT5G67190', 'AT3G50260', 'AT4G06746', 'AT2G43010', 'AT1G50640', 'AT1G28370', 'AT1G43160', 'AT5G64750', 'AT4G18450', 'AT2G45680', 'AT1G69690', 'AT2G20180', 'AT1G76880', 'AT1G36060', 'AT5G01380', 'AT4G18890', 'AT4G36620', 'AT5G13790', 'AT5G62000', 'AT4G24020', 'AT4G01500', 'AT3G60530', 'AT1G08010')",0.07808421477683258,25,7,"[('GO:0045487', 'gibberellin catabolic process'), ('GO:0010227', 'floral organ abscission'), ('GO:0009409', 'response to cold'), ('GO:0010161', 'red light signaling pathway'), ('GO:1902074', 'response to salt'), ('GO:0010187', 'negative regulation of seed germination'), ('GO:0010047', 'fruit dehiscence')]"
9,541,"('AT2G21240', 'AT2G17950', 'AT5G02030', 'AT1G14685', 'AT4G01930', 'AT3G23210', 'AT4G14410')",0.48099166762948037,7,6,"[('GO:0050793', 'regulation of developmental process'), ('GO:0006879', 'intracellular iron ion homeostasis'), ('GO:0071333', 'cellular response to glucose stimulus'), ('GO:0009723', 'response to ethylene'), ('GO:0046983', 'protein dimerization activity'), ('GO:0043565', 'sequence-specific DNA binding')]"
10,120,"('AT5G65310', 'AT2G22430', 'AT4G25490', 'AT4G25470')",0.032082288374982997,4,5,"[('GO:0009631', 'cold acclimation'), ('GO:0009738', 'abscisic acid-activated signaling pathway'), ('GO:0009409', 'response to cold'), ('GO:0009414', 'response to water deprivation'), ('GO:0045893', 'positive regulation of DNA-templated transcription')]"
11,502,"('AT5G43700', 'AT2G40950', 'AT5G61890', 'AT1G32770', 'AT5G12870', 'AT3G08500', 'AT5G60690', 'AT4G18960', 'AT1G69120', 'AT2G46830', 'AT2G25000')",0.2674453114036692,11,4,"[('GO:0050832', 'defense response to fungus'), ('GO:0009834', 'plant-type secondary cell wall biogenesis'), ('GO:0045893', 'positive regulation of DNA-templated transcription'), ('GO:2000652', 'regulation of secondary cell wall biogenesis')]"
12,177,"('AT3G50060', 'AT3G20310', 'AT3G06490', 'AT4G18170', 'AT4G37260', 'AT2G23290', 'AT5G58850', 'AT1G29160', 'AT5G56840', 'AT1G20980')",0.03696380412550274,10,4,"[('GO:0010929', 'positive regulation of auxin mediated signaling pathway'), ('GO:0000978', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding'), ('GO:0000981', 'DNA-binding transcription factor activity, RNA polymerase II-specific'), ('GO:0006355', 'regulation of DNA-templated transcription')]"
13,378,"('AT2G46590', 'AT2G22540', 'AT1G69180', 'AT5G46830', 'AT1G55110', 'AT5G03790', 'AT4G21030', 'AT4G21080', 'AT2G06200', 'AT2G40260', 'AT1G51220', 'AT2G42430', 'AT5G29000', 'AT2G15740', 'AT1G69490', 'AT5G15830', 'AT2G31220', 'AT2G24430', 'AT5G41570', 'AT1G29860', 'AT1G34670', 'AT5G22990', 'AT5G08520', 'AT5G06839', 'AT5G13910', 'AT1G24250', 'AT2G32460', 'AT2G26960')",0.07027446021639534,28,3,"[('GO:0010582', 'floral meristem determinacy'), ('GO:1901371', 'regulation of leaf morphogenesis'), ('GO:0010030', 'positive regulation of seed germination')]"
